symbol,support_0,precision_0,recall_0,f1_0,support_1,precision_1,recall_1,f1_1,accuracy
INTC,87,1.0,0.7471264367816092,0.8552631578947368,28,0.56,1.0,0.717948717948718,0.808695652173913
SMSN,62,1.0,0.7741935483870968,0.8727272727272727,41,0.7454545454545455,1.0,0.8541666666666666,0.8640776699029126
TSMC,104,1.0,0.8942307692307693,0.9441624365482234,11,0.5,1.0,0.6666666666666666,0.9043478260869565
