date,symbol,adj_close,close,open,high,low,volume,vader_compound,finbert_sentiment,ret_1d,ret_5d,ma_5d,ma_20d,vol_10d,vol_fwd_5d,vol_q75_252d,target_label
2023-01-10,INTC,28.388338088989254,29.440000534057617,29.239999771118164,29.510000228881836,28.920000076293945,23008100.0,,,,,28.388338088989254,28.388338088989254,,,,
2023-01-11,INTC,28.783693313598633,29.850000381469727,29.68000030517578,29.8799991607666,29.0,30375400.0,,,0.01392667733384223,,28.586015701293945,28.586015701293945,,,,
2023-01-12,INTC,29.20797348022461,30.290000915527344,29.979999542236328,30.3799991607666,29.469999313354492,28963900.0,,,0.014740296250499885,,28.7933349609375,28.7933349609375,0.00057531545327028,,,
2023-01-13,INTC,29.034404754638672,30.11000061035156,29.969999313354492,30.170000076293945,29.809999465942383,31361900.0,,,-0.0059425117495212065,,28.853602409362793,28.853602409362793,0.011713419635456081,,,
2023-01-16,INTC,,,,,,,,,,,28.853602409362793,28.853602409362793,0.011713419635456081,,,
2023-01-17,INTC,28.542621612548828,29.600000381469727,30.18000030517578,30.260000228881836,29.520000457763672,34759100.0,,,,0.0054347501102720575,28.892173290252686,28.79140625,0.011713419635456081,0.027760934248280078,,
2023-01-18,INTC,27.780841827392575,28.809999465942383,29.799999237060547,29.81999969482422,28.6299991607666,44199600.0,,,-0.026689201696221687,-0.03484095926398256,28.641460418701172,28.622978846232098,0.019620786746425426,0.023741084879583346,,
2023-01-19,INTC,27.404775619506836,28.420000076293945,28.61000061035156,28.760000228881836,28.239999771118164,36886600.0,,,-0.013536890286561687,-0.0617364933564678,28.19066095352173,28.448949813842773,0.017894423679260044,0.021000501259788633,,
2023-01-20,INTC,28.17619514465332,29.219999313354492,28.420000076293945,29.229999542236328,28.25,35158500.0,,,0.02814909108751773,-0.029558367641349337,27.97610855102539,28.414855480194092,0.020569781712318397,0.03719694356590659,,
2023-01-23,INTC,29.188690185546875,30.270000457763672,29.329999923706055,30.489999771118164,29.18000030517578,38795800.0,,,0.03593441327672253,,28.218624877929688,28.500837114122177,0.022788062741999668,0.02886278770187178,,
2023-01-24,INTC,28.8511905670166,29.920000076293945,29.940000534057617,30.190000534057617,29.729999542236328,24855100.0,,,-0.011562684600948336,0.010810813339308334,28.28033866882324,28.53587245941162,0.022058879370030936,0.03130547781572478,,
2023-01-25,INTC,28.63905143737793,29.700000762939453,29.520000457763672,29.88999938964844,29.170000076293945,28268000.0,,,-0.007352872636084418,0.030892138377863754,28.451980590820312,28.54525236649947,0.022025852507706445,0.03611303130414187,,
2023-01-26,INTC,29.015117645263672,30.09000015258789,30.059999465942383,30.11000061035156,29.329999923706055,56088100.0,,,0.01313123825724638,0.05876136510348173,28.77404899597168,28.584407806396484,0.021896913256864364,0.04058836678694852,,
2023-01-27,INTC,27.154062271118164,28.15999984741211,27.06999969482422,28.239999771118164,26.780000686645508,148548200.0,,,-0.06414088672321139,-0.036276469136008016,28.569622421264647,28.47438122675969,0.03204500686246954,0.018534977364698387,,
2023-01-30,INTC,26.951562881469727,27.950000762939453,27.719999313354492,28.510000228881836,27.670000076293945,55145800.0,,,-0.00745742525102111,-0.07664363456723,28.12219696044922,28.36560848781041,0.029980708325365632,0.031245347761882588,,
2023-01-31,INTC,27.250490188598633,28.260000228881836,27.780000686645508,28.290000915527344,27.530000686645508,52621600.0,,,0.011091279138191634,-0.055481259073167255,27.802056884765626,28.291267267862956,0.028775033920442283,0.031287298779911175,,
2023-02-01,INTC,28.031553268432617,29.06999969482422,27.88999938964844,29.43000030517578,27.68000030517578,63330600.0,,,0.02866234972025472,-0.021212230798693388,27.680557250976562,28.27503514289856,0.029296600959587967,0.03231788291447143,,
2023-02-02,INTC,29.111543655395508,30.190000534057617,29.25,30.299999237060547,28.799999237060547,62230700.0,,,0.03852766832507659,0.003323302400863204,27.69984245300293,28.324241525986615,0.030948289305494477,0.022614631034639964,,
2023-02-03,INTC,29.236900329589844,30.31999969482422,29.6200008392334,31.170000076293945,29.530000686645508,57603100.0,,,0.004306081315310184,0.0767044738159508,28.116410064697266,28.374944792853462,0.02999882534712794,0.022260161429922456,,
2023-02-06,INTC,28.00222969055176,28.690000534057617,29.549999237060547,29.649999618530273,28.61000061035156,48726400.0,,,-0.0422298747514116,0.038983520684969575,28.326543426513673,28.355328208521794,0.030954452228123368,0.022317153157471507,,
2023-02-07,INTC,28.353593826293945,29.049999237060547,28.649999618530273,29.270000457763672,28.43000030517578,50780800.0,,,0.012547719936057078,0.04048013925844329,28.547164154052734,28.353499563116777,0.031212105225384885,0.02128633757977041,,
2023-02-08,INTC,27.56301498413086,28.239999771118164,28.950000762939453,29.1200008392334,28.209999084472656,36479100.0,,,-0.027882844305610943,-0.016714674346262393,28.453456497192384,28.289253335250052,0.032310940926827604,0.016030336523702084,,
2023-02-09,INTC,27.06523704528809,27.729999542236328,28.68000030517578,28.81999969482422,27.56999969482422,43906400.0,,,-0.018059633139892783,-0.07029193073133921,28.0441951751709,28.176477733411286,0.03204817932999996,0.017639202029604773,,
2023-02-10,INTC,27.133563995361328,27.799999237060547,27.6299991607666,27.989999771118164,27.34000015258789,31232500.0,,,0.002524528048984287,-0.07194115349156172,27.623527908325194,28.076433482923004,0.024840503852097285,0.020794837051709463,,
2023-02-13,INTC,27.865581512451172,28.549999237060547,27.8700008392334,28.549999237060547,27.719999313354492,32347500.0,,,0.026978303226770528,-0.004879903479496739,27.596198272705077,28.065890884399415,0.02601945753261807,,,
2023-02-14,INTC,27.95342445373535,28.63999938964844,28.3799991607666,28.719999313354492,27.989999771118164,27928900.0,,,0.003152381415221006,-0.0141135326622156,27.51616439819336,28.03643102645874,0.02588785055375873,,,
2023-02-15,INTC,28.158390045166016,28.850000381469727,28.36000061035156,28.8799991607666,28.15999984741211,23359400.0,,,0.007332396492955473,0.021600505655057667,27.63523941040039,28.055308437347414,0.0243585687915475,,,
2023-02-16,INTC,27.52397346496582,28.200000762939453,28.5,28.829999923706055,28.1299991607666,28972500.0,,,-0.022530285970987385,0.016949285125791747,27.726986694335938,28.06126832962036,0.02128736590238158,,,
2023-02-17,INTC,26.94811630249023,27.61000061035156,28.0,28.06999969482422,27.3799991607666,32086200.0,,,-0.020922021422836168,-0.006834623453918609,27.68989715576172,27.999864387512208,0.02150490159510318,,,
2023-02-20,INTC,,,,,,,,,,,27.645976066589355,27.937294608668278,0.0188856404177207,,,
2023-02-21,INTC,25.435274124145508,26.059999465942383,27.11000061035156,27.270000457763672,26.040000915527344,63668400.0,,,,-0.09008378682753304,27.016438484191895,27.757509532727692,0.01905525098261358,0.012122692512021999,,
2023-02-22,INTC,24.85941696166992,25.469999313354492,25.90999984741211,26.899999618530273,25.299999237060547,89195300.0,,,-0.022640100502354432,-0.11715773090025916,26.19169521331787,27.558581402427272,0.018276295224517895,0.013339194987503494,,
2023-02-23,INTC,24.99606132507324,25.61000061035156,25.780000686645508,26.079999923706055,25.31999969482422,56473200.0,,,0.005496684158522669,-0.09184401166169776,25.559717178344723,27.34705212241725,0.017860368295065022,0.020941622591432292,,
