event,start,end,event_start_trading_date,reopen_gap_bp,cc_bp_0_1,max_dd_bp_0_1,cc_bp_-1_1,max_dd_bp_-1_1,cc_bp_-2_2,max_dd_bp_-2_2,cc_bp_-5_5,max_dd_bp_-5_5
War games (Pelosi aftermath),2022-08-04,2022-08-10,2022-08-04,56.64060243553371,152.68021964235157,0.0,376.83440369153055,0.0,219.63966561530768,-203.8536560201043,102.69676407253402,-507.96454596347075
Joint Sword (2023),2023-04-08,2023-04-10,2023-04-10,-201.68436811930923,24.713685576200906,0.0,-110.81560546019165,-135.1951739343893,-369.17897054596915,-373.448049309022,-540.7438143217569,-661.1475078937001
Joint Sword-2024A,2024-05-23,2024-05-24,2024-05-23,194.04411769017082,185.24436501036857,0.0,246.55819750258212,0.0,373.5280511198735,-36.87477111816384,-78.17135090354421,-560.0004196166997
Joint Sword-2024B,2024-10-14,2024-10-15,2024-10-14,-10.481471138888976,-264.29434751630845,-264.29434751630845,-192.86162794751925,-264.29434751630845,91.50591879709013,-264.29434751630845,945.2063823437018,-264.29434751630845
Strait Thunder-2025A,2025-04-01,2025-04-02,2025-04-01,23.493939135448283,103.77134762415308,0.0,264.4577945571358,0.0,-476.24781344553725,-763.5421417594257,-2185.185191433282,-2185.185191433282
Justice Mission 2025,2025-12-29,2025-12-31,2025-12-29,-35.00190105044987,-44.53099812819716,-44.53099812819716,-107.64792646436594,-107.64792646436594,170.34896463903104,-107.64792646436594,1331.7175581629415,-107.64792646436594
