date,adj_close,close,open,high,low,volume,vader_compound,ret_1d,ret_5d,ma_5d,ma_20d,vol_10d,vol_fwd_5d,vol_q75_252d,p_high_vol,risk_off,exposure_next,strategy_ret,buy_hold_ret,strategy_equity,buy_hold_equity,strategy_dd,buy_hold_dd
2023-01-10,77.56261444091797,81.2699966430664,80.51000213623047,81.58000183105469,80.45999908447266,10269000.0,,,,77.56261444091797,77.56261444091797,,,,0.1405396402277434,0,1.0,,,1.0,1.0,0.0,0.0
2023-01-11,78.04935455322266,81.77999877929688,81.56999969482422,81.88999938964844,80.62999725341797,11771400.0,,0.006275447466710382,,77.80598449707031,77.80598449707031,,,,0.14140476939192495,0,0.8594603597722565,0.005393498337470801,0.006275447466710382,1.0053934983374708,1.0062754474667104,0.0,0.0
2023-01-12,83.03120422363281,87.0,84.95999908447266,88.83000183105469,84.41999816894531,36086800.0,,0.06382947942270278,,79.54772440592448,79.54772440592448,0.0406968462807094,,,0.17006515588148688,0,0.8585952306080751,0.05480368660452888,0.06382947942270278,1.0604927685345886,1.0705054854343579,0.0,0.0
2023-01-13,82.84032440185547,86.80000305175781,85.41000366210938,87.0999984741211,84.9000015258789,18719900.0,,-0.002298892609858272,,80.37087440490723,80.37087440490723,0.0359605049320706,,,0.14623218817238437,0,0.8299348441185131,-0.0019079310798079266,-0.002298892609858272,1.05846942142159,1.06804450828508,-0.0019079310798079119,-0.002298892609858272
2023-01-16,,,,,,,,,,80.37087440490723,80.37087440490723,0.0359605049320706,,,0.14203783305500803,0,0.8537678118276156,,,1.05846942142159,1.06804450828508,-0.0019079310798079119,-0.002298892609858272
2023-01-17,84.930419921875,88.98999786376953,86.22000122070312,89.7300033569336,86.16000366210938,21850000.0,,,0.0949917113298099,82.21282577514648,81.28278350830078,0.0359605049320706,0.0273585660381251,,0.7924735887087979,1,0.8579621669449919,,,1.05846942142159,1.06804450828508,-0.0019079310798079119,-0.002298892609858272
2023-01-18,85.38854217529297,89.47000122070312,90.4800033569336,91.22000122070312,89.36000061035156,19209800.0,,0.005394089112468636,0.0940326497775922,84.04762268066406,81.96707661946614,0.0305962975576769,0.0317308372743008,,0.9109824476328771,1,0.20752641129120208,0.0011194159556955614,0.005394089112468636,1.0596542889805451,1.0738056355388526,-0.0007906508926054379,0.0
2023-01-19,84.36736297607422,88.4000015258789,89.02999877929688,90.01000213623047,88.26000213623047,13651100.0,,-0.011959206390037447,0.016092248269008,84.38166236877441,82.30997467041016,0.0297527201415949,0.0299318406642057,,0.9086550709072851,1,0.1,-0.0011959206390037447,-0.011959206390037447,1.0583870265461444,1.0609637723206582,-0.001985625975888583,-0.011959206390037336
2023-01-20,86.87737274169922,91.02999877929688,90.0,91.02999877929688,89.19999694824219,14287200.0,,0.029750956733551215,0.0487328890729612,85.39092445373535,82.88089942932129,0.0275542615648568,0.0284047215828326,,0.8653060151192532,1,0.1,0.0029750956733551217,0.029750956733551215,1.0615358292095571,1.0925284596068354,0.0,0.0
2023-01-23,91.29615783691406,95.66000366210938,91.76000213623048,95.7300033569336,91.72000122070312,22875100.0,,0.050862324167566975,,86.5719711303711,83.81592814127605,0.028543603447266,0.0126713417114947,,0.1669005114984368,0,0.1346939848807468,0.006850849122425909,0.050862324167566975,1.068808251013521,1.148096996281651,0.0,0.0
